Number,Title,AcceptanceRate,Difficulty,Frequency
200,Number of Islands,54.2%,Medium,0.4903240074640308
202,Happy Number,53.4%,Easy,0.3296314139240215
204,Count Primes,33.0%,Medium,0.08355588569097351
206,Reverse Linked List,70.6%,Easy,0.18384462633551288
207,Course Schedule,45.1%,Medium,0.03144913268250332
208,Implement Trie (Prefix Tree),58.6%,Medium,0.06127490750055161
209,Minimum Size Subarray Sum,43.6%,Medium,0.052505497377930636
210,Course Schedule II,46.8%,Medium,0.38234521244058434
212,Word Search II,37.8%,Hard,0.25699626174833706
215,Kth Largest Element in an Array,63.8%,Medium,0.02789581163694661
217,Contains Duplicate,61.0%,Easy,0.2615846559435825
220,Contains Duplicate III,21.7%,Medium,0.15906469462968736
224,Basic Calculator,40.6%,Hard,0.16229864091884685
226,Invert Binary Tree,71.9%,Easy,0.05233752510823033
227,Basic Calculator II,41.7%,Medium,0.09740053011838201
231,Power of Two,45.1%,Easy,0.17117447745078015
233,Number of Digit One,33.7%,Hard,0.4519851237430572
234,Palindrome Linked List,47.0%,Easy,0.25606785374933355
235,Lowest Common Ancestor of a Binary Search Tree,57.4%,Easy,0.12477221253464107
236,Lowest Common Ancestor of a Binary Tree,55.7%,Medium,0.0370756088022149
238,Product of Array Except Self,64.1%,Medium,0.31137184357418557
239,Sliding Window Maximum,46.3%,Hard,0.24464032119321288
242,Valid Anagram,61.6%,Easy,0.03576066387909816
253,Meeting Rooms II,49.9%,Medium,0.05807146640389905
268,Missing Number,60.5%,Easy,0.06669137449867221
273,Integer to English Words,29.6%,Hard,0.22067136216882066
274,H-Index,37.7%,Medium,0.4964368863138911
277,Find the Celebrity,46.9%,Medium,0.2561688067457042
278,First Bad Version,41.9%,Easy,0.07600998392785518
279,Perfect Squares,51.9%,Medium,0.08934510033584994
283,Move Zeroes,60.8%,Easy,0.21357410029805904
287,Find the Duplicate Number,58.9%,Medium,0.049487832376011696
289,Game of Life,65.6%,Medium,0.18485641239714268
295,Find Median from Data Stream,50.5%,Hard,0.8357147703020706
297,Serialize and Deserialize Binary Tree,54.0%,Hard,0.06971463261536112
312,Burst Balloons,56.4%,Hard,0.6133249071427848
316,Remove Duplicate Letters,44.0%,Medium,0.32423966818557853
322,Coin Change,40.7%,Medium,0.15245528524201352
325,Maximum Size Subarray Sum Equals k,49.2%,Medium,0.4096756406445079
329,Longest Increasing Path in a Matrix,51.3%,Hard,0.10821358464023274
336,Palindrome Pairs,35.7%,Hard,0.42285685082003355
341,Flatten Nested List Iterator,60.8%,Medium,0.8290526660004818
344,Reverse String,75.1%,Easy,0.020932213770056947
347,Top K Frequent Elements,65.0%,Medium,0.23150215308483288
349,Intersection of Two Arrays,69.3%,Easy,0.5753641449035618
359,Logger Rate Limiter,75.1%,Easy,0.1578069910303688
362,Design Hit Counter,67.6%,Medium,0.25452986513488046
373,Find K Pairs with Smallest Sums,38.7%,Medium,0.3416302106614813
