Number,Title,AcceptanceRate,Difficulty,Frequency
169,Majority Element,63.1%,Easy,0.0891955788044709
171,Excel Sheet Column Number,60.8%,Easy,0.11883400790235846
173,Binary Search Tree Iterator,67.6%,Medium,0.263911853117869
187,Repeated DNA Sequences,45.0%,Medium,0.188348264660815
188,Best Time to Buy and Sell Stock IV,34.0%,Hard,0.12099331128663167
189,Rotate Array,38.7%,Medium,0.1420420822924313
191,Number of 1 Bits,62.2%,Easy,0.03424992304307851
198,House Robber,47.5%,Medium,0.0876312954663625
200,Number of Islands,54.2%,Medium,0.8496859212235884
202,Happy Number,53.4%,Easy,1.907692960711984
205,Isomorphic Strings,42.2%,Easy,0.18048837571229365
206,Reverse Linked List,70.6%,Easy,0.02798690125097181
207,Course Schedule,45.1%,Medium,0.2527333714065298
208,Implement Trie (Prefix Tree),58.6%,Medium,0.6986611764132303
209,Minimum Size Subarray Sum,43.6%,Medium,0.052505497377930636
210,Course Schedule II,46.8%,Medium,0.7167980112935902
211,Design Add and Search Words Data Structure,43.9%,Medium,0.3933437475758196
212,Word Search II,37.8%,Hard,0.5064203302980743
213,House Robber II,40.0%,Medium,0.7821829996679678
215,Kth Largest Element in an Array,63.8%,Medium,0.29753436889479257
216,Combination Sum III,66.2%,Medium,0.27871340246902054
217,Contains Duplicate,61.0%,Easy,0.14681685304684056
218,The Skyline Problem,38.9%,Hard,0.23922968906583414
219,Contains Duplicate II,40.7%,Easy,0.05807146640389905
221,Maximal Square,43.6%,Medium,0.1916674192121923
222,Count Complete Tree Nodes,55.6%,Medium,0.3773760943480956
224,Basic Calculator,40.6%,Hard,1.6873774272295088
226,Invert Binary Tree,71.9%,Easy,0.09123131622950384
231,Power of Two,45.1%,Easy,0.04561794346101633
232,Implement Queue using Stacks,58.8%,Easy,0.04577458138494428
233,Number of Digit One,33.7%,Hard,1.1895840668738362
234,Palindrome Linked List,47.0%,Easy,0.05221603708224446
235,Lowest Common Ancestor of a Binary Search Tree,57.4%,Easy,0.03268264743035841
236,Lowest Common Ancestor of a Binary Tree,55.7%,Medium,0.21193842030849347
238,Product of Array Except Self,64.1%,Medium,0.02257432203853903
239,Sliding Window Maximum,46.3%,Hard,0.954146024095039
241,Different Ways to Add Parentheses,62.0%,Medium,0.24973714088765747
242,Valid Anagram,61.6%,Easy,0.03576066387909816
247,Strobogrammatic Number II,51.1%,Medium,0.5543107357057295
249,Group Shifted Strings,63.8%,Medium,0.29626581614317243
250,Count Univalue Subtrees,54.9%,Medium,0.325422400434628
252,Meeting Rooms,56.8%,Easy,0.1300531282481978
253,Meeting Rooms II,49.9%,Medium,2.0270856106730166
257,Binary Tree Paths,59.0%,Easy,0.0901510969942975
261,Graph Valid Tree,46.0%,Medium,0.2631357702277599
267,Palindrome Permutation II,39.9%,Medium,0.7472144018302211
269,Alien Dictionary,34.9%,Hard,1.272644339049197
272,Closest Binary Search Tree Value II,57.4%,Hard,0.37117603462953225
274,H-Index,37.7%,Medium,1.9148195619852821
278,First Bad Version,41.9%,Easy,0.8864317858772968
279,Perfect Squares,51.9%,Medium,0.08934510033584994
285,Inorder Successor in BST,47.4%,Medium,0.5078801135362339
286,Walls and Gates,59.5%,Medium,0.8427523980155289
289,Game of Life,65.6%,Medium,0.5945320530416506
295,Find Median from Data Stream,50.5%,Hard,0.23023806672070082
296,Best Meeting Point,59.5%,Hard,0.7621400520468967
297,Serialize and Deserialize Binary Tree,54.0%,Hard,0.1505340393570698
299,Bulls and Cows,47.4%,Medium,1.9360578526123018
300,Longest Increasing Subsequence,49.6%,Medium,0.6837765680933962
302,Smallest Rectangle Enclosing Black Pixels,57.4%,Hard,1.4663370687934272
304,Range Sum Query 2D - Immutable,50.9%,Medium,0.003234271694894771
307,Range Sum Query - Mutable,38.8%,Medium,0.26557641498817536
312,Burst Balloons,56.4%,Hard,1.2788741124990537
315,Count of Smaller Numbers After Self,42.0%,Hard,0.7012443907925647
317,Shortest Distance from All Buildings,43.2%,Hard,1.3984157216522355
322,Coin Change,40.7%,Medium,0.21281370181263298
323,Number of Connected Components in an Undirected Graph,61.3%,Medium,0.13176927763112334
329,Longest Increasing Path in a Matrix,51.3%,Hard,2.904885162507475
332,Reconstruct Itinerary,40.3%,Hard,0.7053672918947206
334,Increasing Triplet Subsequence,41.6%,Medium,0.2813443418672318
337,House Robber III,53.6%,Medium,0.5523478339075513
338,Counting Bits,74.4%,Easy,0.05971923470162228
341,Flatten Nested List Iterator,60.8%,Medium,0.6037778680284112
346,Moving Average from Data Stream,76.5%,Easy,0.6014387540704463
347,Top K Frequent Elements,65.0%,Medium,0.30347565270992216
348,Design Tic-Tac-Toe,57.3%,Medium,0.6019569424953487
349,Intersection of Two Arrays,69.3%,Easy,0.22631312607548879
353,Design Snake Game,38.3%,Medium,0.9162907318741551
354,Russian Doll Envelopes,38.9%,Hard,1.5842427812579138
355,Design Twitter,35.0%,Medium,0.5491078103370076
358,Rearrange String k Distance Apart,37.2%,Hard,1.3618033411115948
359,Logger Rate Limiter,75.1%,Easy,3.3280998811535536
362,Design Hit Counter,67.6%,Medium,0.5020919437972361
366,Find Leaves of Binary Tree,78.9%,Medium,4.441065596542151
367,Valid Perfect Square,43.1%,Easy,0.06371581438610768
370,Range Addition,69.8%,Medium,0.29407187055055195
375,Guess Number Higher or Lower II,45.6%,Medium,0.5968160716215132
378,Kth Smallest Element in a Sorted Matrix,59.8%,Medium,0.3430272491675487
380,Insert Delete GetRandom O(1),51.5%,Medium,0.35454501768090746
383,Ransom Note,56.0%,Easy,0.08820601831269737
384,Shuffle an Array,57.1%,Medium,0.47251724598605155
388,Longest Absolute File Path,46.0%,Medium,1.8273504143307577
389,Find the Difference,60.5%,Easy,0.6348290101388587
392,Is Subsequence,51.0%,Easy,0.18884373606243307
393,UTF-8 Validation,39.2%,Medium,1.2729656758128876
394,Decode String,56.5%,Medium,2.1912004627328385
398,Random Pick Index,63.5%,Medium,1.0216512475319814
399,Evaluate Division,58.8%,Medium,0.8327521493848249
402,Remove K Digits,30.5%,Medium,0.14413390158378703
403,Frog Jump,43.0%,Hard,0.2629424662760252
405,Convert a Number to Hexadecimal,45.8%,Easy,0.44685032427101873
407,Trapping Rain Water II,47.1%,Hard,0.9264088620397397
408,Valid Word Abbreviation,34.8%,Easy,0.4776275543563949
410,Split Array Largest Sum,52.3%,Hard,1.4126431908166421
415,Add Strings,52.3%,Easy,0.49233511236835814
416,Partition Equal Subset Sum,46.5%,Medium,0.0593646090496058
417,Pacific Atlantic Water Flow,49.7%,Medium,1.141734407727598
418,Sentence Screen Fitting,35.4%,Medium,1.9587171544117037
419,Battleships in a Board,73.8%,Medium,2.403291939970525
420,Strong Password Checker,14.2%,Hard,1.629743178594846
424,Longest Repeating Character Replacement,50.9%,Medium,0.6386143015396952
425,Word Squares,52.4%,Hard,0.9694005571881035
437,Path Sum III,50.1%,Medium,0.1217306453046817
444,Sequence Reconstruction,25.3%,Medium,1.2332691738143668
447,Number of Boomerangs,54.3%,Medium,1.3156767939059373
450,Delete Node in a BST,49.2%,Medium,0.1093985944071066
452,Minimum Number of Arrows to Burst Balloons,53.0%,Medium,0.27193371548364176
459,Repeated Substring Pattern,43.6%,Easy,0.1559573650522073
460,LFU Cache,39.6%,Hard,0.5020919437972361
463,Island Perimeter,69.0%,Easy,0.18485641239714268
465,Optimal Account Balancing,49.0%,Hard,1.0296194171811583
471,Encode String with Shortest Length,50.6%,Hard,1.1700712526502546
485,Max Consecutive Ones,55.2%,Easy,0.09747971420558924
486,Predict the Winner,50.3%,Medium,0.5525652299387559
487,Max Consecutive Ones II,49.0%,Medium,0.322773392263051
490,The Maze,54.8%,Medium,0.6325225587435105
498,Diagonal Traverse,57.1%,Medium,0.18400364297693944
499,The Maze III,45.8%,Hard,0.8873031950009028
501,Find Mode in Binary Search Tree,47.5%,Easy,0.2421400520048648
505,The Maze II,51.5%,Medium,0.48550781578170077
523,Continuous Subarray Sum,27.4%,Medium,0.11408368723037224
524,Longest Word in Dictionary through Deleting,50.9%,Medium,1.1895840668738362
530,Minimum Absolute Difference in BST,56.3%,Easy,0.3595554068040865
539,Minimum Time Difference,55.4%,Medium,3.80563331786282
540,Single Element in a Sorted Array,58.7%,Medium,0.11091689784318418
542,01 Matrix,43.8%,Medium,0.2669671564417505
543,Diameter of Binary Tree,54.5%,Easy,0.12879510820557039
545,Boundary of Binary Tree,43.4%,Medium,0.29626581614317243
